Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,x,y
Blosenski Landfill,30.57,PAD980539985,301376,3,Pennsylvania,West Caln Township,Chester,NPL Site,40.02,-75.91055,12/30/1982,9/8/1983,9/18/1998,538,,,"<a href=""https://semspub.epa.gov/src/document/03/900289"" target=""_blank"">PAD980539985 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301376"" target=""_blank"">Blosenski Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8450323.772,4868849.051
Brodhead Creek,31.09,PAD980691760,301433,3,Pennsylvania,Stroudsburg,Monroe,Deleted NPL Site,40.989719,-75.186669,12/30/1982,9/8/1983,9/30/1997,485,5/22/2001,7/23/2001,"<a href=""https://semspub.epa.gov/src/document/03/900290"" target=""_blank"">PAD980691760 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301433"" target=""_blank"">Brodhead Creek</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-05-22/pdf/01-12706.pdf"" target=""_blank"">05/22/2001 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-05-22/pdf/01-12707.pdf"" target=""_blank"">07/23/2001 (PDF)</a>",,No,-8369741.708,5010825.337
Bruin Lagoon,73.11,PAD980712855,301546,3,Pennsylvania,Bruin Borough,Butler,Deleted NPL Site,41.051111,-79.725,12/30/1982,9/8/1983,3/27/1992,77,7/17/1997,9/18/1997,"<a href=""https://semspub.epa.gov/src/document/03/900291"" target=""_blank"">PAD980712855 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301546"" target=""_blank"">Bruin Lagoon</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-07-17/pdf/97-18405.pdf"" target=""_blank"">07/17/1997 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-18/pdf/97-24546.pdf"" target=""_blank"">09/18/1997 (PDF)</a>",,No,-8874946.403,5019883.45
Centre County Kepone,45.09,PAD000436261,300444,3,Pennsylvania,State College Borough,Centre,NPL Site,40.823611,-77.808331,12/30/1982,9/8/1983,9/4/2016,1184,,,"<a href=""https://semspub.epa.gov/src/document/03/900292"" target=""_blank"">PAD000436261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300444"" target=""_blank"">Centre County Kepone</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-8661583.786,4986359.037
Craig Farm Drum,28.72,PAD980508527,301212,3,Pennsylvania,Parker,Armstrong,Deleted NPL Site,41.0446,-79.6825,12/30/1982,9/8/1983,12/27/1995,347,7/30/2013,9/30/2013,"<a href=""https://semspub.epa.gov/src/document/03/900293"" target=""_blank"">PAD980508527 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301212"" target=""_blank"">Craig Farm Drum</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-07-30/pdf/2013-18190.pdf"" target=""_blank"">07/30/2013 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-07-30/pdf/2013-18189.pdf"" target=""_blank"">09/30/2013 (PDF)</a>",,No,-8870215.325,5018922.381
Douglassville Disposal,55.18,PAD002384865,300614,3,Pennsylvania,Douglassville,Berks,NPL Site,40.2575,-75.735281,12/30/1982,9/8/1983,7/17/2002,816,,,"<a href=""https://semspub.epa.gov/src/document/03/900294"" target=""_blank"">PAD002384865 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300614"" target=""_blank"">Douglassville Disposal</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8430812.916,4903432.338
Drake Chemical,38.52,PAD003058047,300701,3,Pennsylvania,Lock Haven,Clinton,NPL Site,41.129169,-77.443611,12/30/1982,9/8/1983,9/29/2000,754,,,"<a href=""https://semspub.epa.gov/src/document/03/900295"" target=""_blank"">PAD003058047 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300701"" target=""_blank"">Drake Chemical</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8620983.342,5031412.771
Enterprise Avenue,40.8,PAD980552913,301408,3,Pennsylvania,Philadelphia,Philadelphia,Deleted NPL Site,39.885,-75.2125,12/30/1982,9/8/1983,3/7/1986,14,12/31/1985,3/7/1986,"<a href=""https://semspub.epa.gov/src/document/03/900296"" target=""_blank"">PAD980552913 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301408"" target=""_blank"">Enterprise Avenue</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/02/363201"" target=""_blank"">12/31/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189621"" target=""_blank"">03/07/1986 (PDF)</a>",,No,-8372617.201,4849244.839
Fischer & Porter Co.,29.07,PAD002345817,300585,3,Pennsylvania,Warminster,Bucks,NPL Site,40.183889,-75.0925,12/30/1982,9/8/1983,9/28/1998,583,,,"<a href=""https://semspub.epa.gov/src/document/03/900297"" target=""_blank"">PAD002345817 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300585"" target=""_blank"">Fischer & Porter Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8359258.862,4892700.621
Havertown PCP,38.34,PAD002338010,300574,3,Pennsylvania,Haverford,Delaware,NPL Site,39.982781,-75.318611,12/30/1982,9/8/1983,9/16/2010,1090,,,"<a href=""https://semspub.epa.gov/src/document/03/900298"" target=""_blank"">PAD002338010 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300574"" target=""_blank"">Havertown PCP</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8384429.424,4863440.377
